,tfidf,word2vec,bert,mfcc_bow,mfcc_stats,essentia,blf_delta_spectral,blf_correlation,blf_logfluc,blf_spectral,blf_spectral_contrast,blf_vardelta_spectral,incp,vgg19,resnet
tfidf,1.0,-0.9616589078088765,-0.9954669140083103,-0.9999849958626783,-0.9999886571311813,-0.9999945493012319,-0.9999892104418554,-0.9999849487724082,-0.9999894105755035,-0.9999811462330949,-0.9999905466282705,-0.999985507969366,-0.9999899933175963,-0.9999898873644885,-0.9999895695051653
word2vec,,1.0,-0.9894992347095317,-0.99996727814854,-0.9999739061040614,-0.9999936016095453,-0.9999798865683686,-0.9999718753361619,-0.9999813640255941,-0.999966542363069,-0.9999809637582979,-0.9999735588133194,-0.9999828061651168,-0.9999832005461294,-0.9999813875707291
bert,,,1.0,-0.9999534336091206,-0.9999669544029328,-0.999992954118331,-0.9999729289809562,-0.999964805909358,-0.9999750303842609,-0.9999525330077039,-0.999975836805137,-0.9999681552048214,-0.9999723638977146,-0.9999740709200069,-0.9999663540019886
mfcc_bow,,,,1.0,-0.9971233613505723,-0.9998133871457395,-0.9996490891932392,-0.9995489458475137,-0.9998218398492287,-0.9928585780592599,-0.9983839443369462,-0.9997864750563575,-0.9999340324178249,-0.9999349859957951,-0.9999272455326419
mfcc_stats,,,,,1.0,-0.999966601225907,-0.9997721419553852,-0.9995937934435335,-0.9998749223562383,-0.9995574927315433,-0.9998192910883577,-0.9998426890663309,-0.9999669956069193,-0.9999686202212388,-0.9999636345388884
essentia,,,,,,1.0,-0.999963193067606,-0.9999862437548368,-0.9999686967429278,-0.9997519873197674,-0.9999702919258288,-0.9999877329846298,-0.9999925891687375,-0.9999925067607647,-0.9999920123129281
blf_delta_spectral,,,,,,,1.0,-0.9993109221908336,-0.9978461263617363,-0.9990416247085002,-0.9997372127475127,-0.9992835450850338,-0.9999619569480148,-0.9999623984192973,-0.9999589255118748
blf_correlation,,,,,,,,1.0,-0.9998686711228778,-0.9990319829756901,-0.9998192734295065,-0.9991762028142616,-0.9999658477815846,-0.9999668896538115,-0.999964352665508
blf_logfluc,,,,,,,,,1.0,-0.999780753588536,-0.9998970488969176,-0.9998846582695886,-0.9999785739270887,-0.9999786798801963,-0.9999774849645918
blf_spectral,,,,,,,,,,1.0,-0.9979419315163259,-0.9934144610393499,-0.9999302828550654,-0.9999285522876379,-0.9999265332923059
blf_spectral_contrast,,,,,,,,,,,1.0,-0.9997128494190018,-0.9999728171415648,-0.9999724816233899,-0.9999710512564345
blf_vardelta_spectral,,,,,,,,,,,,1.0,-0.9999728760044023,-0.9999733527933875,-0.9999704214240716
incp,,,,,,,,,,,,,1.0,-0.8826451428814447,-0.848839803168557
vgg19,,,,,,,,,,,,,,1.0,-0.8956828317263044
resnet,,,,,,,,,,,,,,,1.0
