,tfidf,word2vec,bert,mfcc_bow,mfcc_stats,essentia,blf_delta_spectral,blf_correlation,blf_logfluc,blf_spectral,blf_spectral_contrast,blf_vardelta_spectral,incp,vgg19,resnet
tfidf,1.0,-0.9665175641557104,-0.995433356304556,-0.9999912529823226,-0.9999947494348798,-0.9999963328452132,-0.9999986049507472,-0.9999954381300808,-0.999994243214476,-0.9999953557221076,-0.9999986049507472,-0.9999971098346704,-0.9999942314419084,-0.9999913471628626,-0.9999904230163112
word2vec,,1.0,-0.9972792654624212,-0.9999931130479928,-0.9999973747174398,-0.9999961680292676,-0.9999997233446628,-0.9999964329120372,-0.9999977867573036,-0.9999949848862304,-0.9999997233446628,-0.9999979751183844,-0.9999966448182528,-0.9999944198029892,-0.9999926951218452
bert,,,1.0,-0.9999852430865966,-0.9999835184054529,-0.9999974865568314,-0.9999977102356148,-0.9999973570585886,-0.9999941254888006,-0.9999933602719108,-0.9999977102356148,-0.9999947847525826,-0.9999894282343548,-0.9999847368661924,-0.9999800160666114
mfcc_bow,,,,1.0,-0.9996924887634522,-0.9999950143176494,-0.9999497899994688,-0.999989799070232,-0.9996013278867548,-0.9998288857308976,-0.9999497899994688,-0.999978891786412,-0.999924661454068,-0.9998810264325044,-0.9998853763962082
mfcc_stats,,,,,1.0,-0.9996205936935236,-0.9999940018768416,-0.9996702974736512,-0.9863567655989092,-0.990622755578394,-0.9999940018768416,-0.9999118175828886,-0.9999388179665274,-0.9999405485339548,-0.99993314947526
essentia,,,,,,1.0,-0.9999997233446628,-0.998936501566708,-0.997555526418451,-0.9999736883115622,-0.9999997233446628,-0.9999999823411486,-0.9998439310722058,-0.9999366577003852,-0.9999221656697508
blf_delta_spectral,,,,,,,1.0,-0.9999703684475176,-0.999999899933176,-0.999230774551064,-0.999970815805084,-0.9987018978408962,-0.999999646822974,-0.9999990405357456,-0.9999978103024386
blf_correlation,,,,,,,,1.0,-0.9898133209250471,-0.9832211775540108,-0.9999703684475176,-0.9999536690604712,-0.999995732444269,-0.9999955617420396,-0.9999973335134534
blf_logfluc,,,,,,,,,1.0,-0.9736302610316682,-0.999999899933176,-0.99999923478311,-0.9999074146426312,-0.9999571478541772,-0.9999329199101928
blf_spectral,,,,,,,,,,1.0,-0.999230774551064,-0.9985969983778872,-0.999995956123052,-0.999994090171098,-0.9999952438827164
blf_spectral_contrast,,,,,,,,,,,1.0,-0.9987018978408962,-0.999999646822974,-0.9999990405357456,-0.9999978103024386
blf_vardelta_spectral,,,,,,,,,,,,1.0,-0.9999975571922368,-0.9999964564571724,-0.99999520267873
incp,,,,,,,,,,,,,1.0,-0.9589966417279538,-0.9279451174674148
vgg19,,,,,,,,,,,,,,1.0,-0.9298744764702428
resnet,,,,,,,,,,,,,,,1.0
