,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
baseline,1.450500699877701e-05,2.924460469595005e-05,4.400899634810134e-05,5.8392114652025354e-05,7.292376948508332e-05,8.781615508461522e-05,0.00010219152604957742,0.00011690395517444537,0.00013154541191627697,0.0001461438689703125,0.0001607483103454696,0.00017530897537643413,0.00018980679252169244,0.00020425080229327013,0.00021868384080112708,0.0002329353167716752,0.00024754071560418304,0.00026205879961040796,0.00027671447744151683,0.0002912031768520483,0.00030572382390153964,0.0003198610422914492,0.00033470033551324035,0.0003493543493067864,0.0003636731082248378,0.0003784995823815705,0.00039324823223143223,0.00040762013111392124,0.0004229115131692439,0.0004373030869856643,0.00045188641174600326,0.00046632825573802,0.00048166845110125524,0.0004960810010861535,0.0005106839305150154,0.0005251123681840732,0.0005396199132241925,0.0005538691742008779,0.0005682102092663723,0.000582529912791778,0.0005972672852398128,0.0006119984833926153,0.0006266503381115136,0.0006410117345292587,0.0006558397216523097,0.0006702851335364929,0.0006850206452724712,0.0006993283267926715,0.0007137527046980467,0.0007283051736966436,0.0007431047619855124,0.0007574401053283537,0.0007721011504870827,0.000786713127486133,0.0008012098195880278,0.0008157554444042394,0.0008305248206812216,0.000844803761939,0.0008593528365661182,0.0008737159746994667,0.0008884126721719621,0.000902897429591052,0.0009172541470861047,0.0009315745032368865,0.0009464738054637401,0.0009610212103018078,0.0009759509771547489,0.0009906085379479874,0.0010052064528292774,0.0010195746217209916,0.0010341566139134882,0.0010486011298088682,0.0010629818865706636,0.0010774244536605252,0.001091892920510933,0.0011063651361253421,0.0011210939902712947,0.0011363017440083392,0.0011541468159589653,0.001168612312872004,0.0011829770704835172,0.0011973165124252018,0.001211892000269385,0.001226540553488613,0.0012410642257260295,0.0012556330733012348,0.0012706821433803354,0.0012850064110358674,0.001299305876000555,0.0013146620394165146,0.0013291778775664268,0.001344179189801437,0.0013593649328596407,0.0013738634151071827,0.0013885965919858397,0.0014031240066229734,0.001417560009394343,0.001431990165976907,0.0014465166147638658,0.001461631728810575
tfidf,2.663629902741271e-05,4.842890818279074e-05,6.880150255535678e-05,8.817817873161619e-05,0.00010832179189635464,0.00012987334937465572,0.00014965821204696977,0.0001698441331219828,0.00018951809874664626,0.00020868638180903686,0.00022855164040431057,0.0002481348129246724,0.0002675903699597043,0.00028697669114081367,0.00030620829972966614,0.00032591395486340503,0.00034529893500732933,0.0003641737316601611,0.0003833590032890595,0.0004023171700691192,0.00042260879459039233,0.00044370748792824647,0.00046495207332669766,0.0004839078857561315,0.0005027497069534236,0.0005223123918494719,0.0005415254538870152,0.0005612047986966001,0.0005814064661514952,0.0006010586401654645,0.0006199842087441559,0.0006388757871212079,0.0006579169928494719,0.0006768887272850402,0.0006961827498632677,0.0007147952444444937,0.000733842717093574,0.00075283483180533,0.0007722091877599619,0.0007912931671995193,0.0008105232245443017,0.0008300815335981786,0.0008490887567628133,0.0008679276752242111,0.0008872670114143663,0.0009065611423303652,0.0009260449766123261,0.0009450051277269832,0.0009636294428136175,0.0009829382102625407,0.00100222019261686,0.0010208519242331051,0.0010396809398300938,0.0010590699153981218,0.0010778740487297858,0.001097289516811277,0.0011165371671998327,0.0011357221048485342,0.0011548819810799893,0.0011743319157361415,0.0011934379071355489,0.0012135655659492905,0.0012320350559084615,0.0012512313143544565,0.0012706219460289418,0.0012895489029974936,0.0013085919205513533,0.001327383326481091,0.0013467381900148113,0.001366302816014585,0.001385311876324435,0.001404960476852501,0.001423809168047471,0.0014430074145503602,0.0014619165946390916,0.0014811593032216838,0.0014999047966873294,0.0015187084859850405,0.0015377062824120185,0.0015564529436370852,0.0015753929108183145,0.0015945176922223475,0.0016136632521865928,0.0016319699433868394,0.001650777828817708,0.0016698301610511338,0.0016893746954475119,0.0017076860825974108,0.0017268098843317104,0.0017453425159726283,0.0017642241670823493,0.0017834079142029684,0.0018020134813508577,0.0018228148883169795,0.001841449657793116,0.0018604408951311375,0.0018792885305675617,0.001898053785520612,0.001916813333262785,0.001936064663206853
word2vec,3.5198663236425826e-05,6.123873369127668e-05,8.63670383969082e-05,0.00011124624824543057,0.0001354745109546474,0.00015873264829939062,0.00018284048428793693,0.0002063377537103698,0.0002308258205781078,0.0002549456641890597,0.00027888509528623765,0.00030177067511033464,0.00032553572915223724,0.0003486050173028195,0.0003718226840584926,0.0003951887293689839,0.0004179496310974074,0.0004413107024569256,0.0004653381145126758,0.0004881496673371063,0.0005110560475811762,0.0005343779762916446,0.0005577362196334066,0.0005807266568271759,0.0006036461246742665,0.0006261813305863661,0.0006483571963629387,0.0006708930002893273,0.0006941506619555639,0.000716382435691879,0.0007389248625428001,0.0007611975563129277,0.0007830915748503811,0.0008055918616883813,0.000828308114384678,0.000851371798981995,0.0008732924295905513,0.0008970093879047472,0.0009191682454949438,0.0009417363757527455,0.0009639632871150232,0.0009867317501584265,0.0010087246642863316,0.0010307748464472909,0.0010532994605495158,0.0010750957034178124,0.0010975737393847534,0.0011199812688987981,0.001142140551426854,0.0011645180577707088,0.0011872147368481654,0.00120961139015518,0.0012318084862761862,0.0012576197439679517,0.0012800443959773043,0.0013023532246355636,0.001324393531368314,0.0013458705332175332,0.001367741527810261,0.0013904247728237563,0.0014118548242122865,0.001433944865898593,0.0014560532474804707,0.001478874887614267,0.0015006064932626827,0.0015231226453332456,0.0015444151666144748,0.001567638518060817,0.0015897575425028812,0.0016121817816214358,0.0016340787471958392,0.001655597536686205,0.0016779206579349663,0.0017000203852988018,0.001721647448583203,0.001744085579387932,0.0017659078763370866,0.0017882388664200101,0.0018093992580260536,0.0018305685442213718,0.0018519497161792724,0.00187362595449577,0.0018954854465050549,0.0019166828724919362,0.0019387885575806198,0.0019597939208301726,0.00198123215731842,0.002002942245482694,0.0020243278037973904,0.0020462144515869247,0.002067932413358977,0.002089526592912065,0.0021119690588966102,0.0021331350473779423,0.002155056656558187,0.0021761567346694883,0.002197374213085848,0.002218648597664429,0.00224088290131388,0.0022625819729012735
bert,3.8891660834080116e-05,7.018194381126989e-05,0.00010090591119378828,0.00013050616876676766,0.0001605541823864365,0.00018997379332426822,0.00021820981962881195,0.0002471336592656858,0.0002769650410142873,0.00030588409840489364,0.0003351510638880681,0.00036294275001658133,0.00039098000404806,0.00041932711426810165,0.00044765591961940166,0.000474718103963262,0.0005027031773953647,0.0005299150434467073,0.0005572553400819246,0.0005856638732113199,0.0006137526509084657,0.0006403612362959276,0.0006670448655564703,0.0006943407020515721,0.0007222569150092082,0.0007492820290264994,0.0007774307238953474,0.0008049147621723962,0.0008317428840615686,0.0008594626853477602,0.0008868722818831358,0.0009137823753956327,0.0009401386073048686,0.0009668884344181477,0.0009943474853334813,0.0010215870903473965,0.0010481768177411225,0.0010746853139175846,0.0011010725604039375,0.0011276019431417672,0.001154594076399473,0.001180746326145891,0.0012071388688725372,0.0012333496873390248,0.0012605082050661514,0.001286752768183093,0.001313829157738682,0.0013399233735538671,0.001366913744441782,0.0013930234155771699,0.0014183525681918132,0.0014445622518682879,0.001470039533444534,0.00149567589493568,0.001521200305454125,0.0015468807437869771,0.00157251069541781,0.0015995305120332383,0.0016254757072190927,0.0016510437066329868,0.0016768402867863603,0.0017020598016570028,0.0017283190360411766,0.001753104180172007,0.001779257471093852,0.0018049686503897686,0.001831070533693265,0.0018566740123105874,0.0018829552508613588,0.0019089712549195594,0.0019346567430365738,0.0019605473420185125,0.0019855993692542043,0.002012017356704982,0.0020370944479161357,0.002062382653535532,0.002088262918496844,0.002113871565298508,0.0021389951001401174,0.002165004227121643,0.0021911972304992596,0.0022169654774804068,0.002242995271382521,0.0022688691533559366,0.0022943088612916466,0.002320057747810555,0.0023453636791292034,0.0023708657168029115,0.0023963054101261267,0.002421344717833473,0.002446516269922122,0.0024720871007676165,0.0024971174504923688,0.002525702040281327,0.0025513958665060736,0.002577272052151763,0.0026031617536991995,0.0026279310174898906,0.00265400600624038,0.0026793711848501394
mfcc_bow,4.502848903854084e-05,7.959187581377242e-05,0.00011472496776573979,0.00014494652584162335,0.00017485397501076035,0.00020652823072328755,0.0002362588409147498,0.00026408870845294333,0.0002925215855132164,0.0003201553034609826,0.00034732034506095103,0.0003745530750851414,0.00040255385713349563,0.00043016333976596515,0.0004580030943676153,0.00048482755969167865,0.0005111095440690946,0.0005376589645276653,0.000564031752288014,0.0005913970307192876,0.0006165993576545157,0.000642625289924117,0.0006693096080757437,0.0006956977801580913,0.0007211931045059495,0.0007499031249388483,0.0007751506844143743,0.0008015433257902685,0.0008266571469573824,0.0008523010362606285,0.0008783935330124723,0.0009037347583234522,0.0009289339552051073,0.0009535389546673865,0.0009782885967407526,0.0010036169090500736,0.0010288334656334628,0.001053447988691877,0.0010788381821789238,0.0011046082625890798,0.0011298033679317443,0.0011562831747345523,0.0011821730774555514,0.001207598829368348,0.0012333360278619938,0.0012591995572550192,0.0012840372034587557,0.00131131681209597,0.001335441896016237,0.001360406940107586,0.0013901264954304209,0.0014137491042138664,0.001440896115423958,0.001464684405091152,0.0014891694090202012,0.001513768698546144,0.0015386954589500146,0.0015635705157105667,0.0015882469863812,0.0016134098865639298,0.0016384910155756627,0.001663428072000099,0.0016874742725687907,0.0017121682956844988,0.0017370819512439971,0.0017615117085136298,0.0017862516541608197,0.0018107999132294798,0.0018347507520650537,0.0018593910841749582,0.0018833733026036666,0.001907120108203117,0.001931263074757458,0.001957073957676055,0.00198200173671029,0.0020062763535632563,0.002030364314656692,0.0020551040325792187,0.0020790849389574267,0.002102937763198927,0.0021268571940211045,0.0021509333004633615,0.0021744774566991674,0.002199300934276882,0.0022229570171076346,0.0022475874217563925,0.00227519088887151,0.002301452570590192,0.0023251448250850315,0.0023493481180944277,0.0023745421609721253,0.0023995315396499193,0.002423688166637356,0.0024476510613946345,0.00247195373692562,0.0024951298229675665,0.002519163196651882,0.0025437990855498712,0.0025685099549067865,0.0025921906385915077
mfcc_stats,3.365827788554758e-05,6.143634289496582e-05,8.829999090461078e-05,0.00011797920613732383,0.0001428119153738323,0.00017059756845959947,0.0001955877725096698,0.0002203648025899269,0.0002457619512085762,0.0002701995414424711,0.0002956558432225576,0.0003213071841021965,0.0003447314392462206,0.00036894560604054004,0.0003930700409390897,0.00041642033165261897,0.0004397252454955189,0.0004630921533519911,0.00048753558461031186,0.0005114596246587744,0.0005349537495677772,0.0005586234492158365,0.0005824564143647614,0.0006056132205312218,0.000628484408269067,0.0006514589956571652,0.0006745666175479594,0.000698336164731427,0.0007220000418896275,0.0007450590150537294,0.0007676140076915532,0.0007902727860403141,0.000813956167496236,0.0008374115313850156,0.000860593048632974,0.0008836240502106544,0.0009063083343102208,0.0009311808250783665,0.0009528857289717555,0.000975271375166396,0.0009975069922863197,0.0010203916369395725,0.001042605730155402,0.001065485200354994,0.00108848767760671,0.001111535469032022,0.0011344245872387919,0.0011576312693695843,0.0011801377107400765,0.0012028459630707771,0.0012256749183729744,0.0012478768262911858,0.0012699961443895862,0.0012931466990325933,0.00131577968428552,0.001338262577139031,0.0013608017883386754,0.0013835986518532246,0.0014060505882911893,0.0014282736264766421,0.0014505363025177234,0.001472723616924229,0.0014948601887042686,0.0015173727798069754,0.0015405105885649601,0.001562241458028909,0.0015850138871022063,0.001607297402407053,0.001629856701187128,0.0016517331367709631,0.0016744799236426526,0.0016975269161572542,0.0017197487493015298,0.0017424475993940347,0.0017651112592068652,0.0017868338986765056,0.0018092959868357393,0.0018312100571141732,0.0018538036804565854,0.0018772376665749466,0.0019000530770392323,0.001922974105891285,0.0019453151014417805,0.001966949457284956,0.0019892501394195056,0.00201056632540852,0.0020320285176438145,0.002053379984888535,0.0020750964584848497,0.0020970804777789005,0.0021186209893467043,0.002140637720508773,0.0021622635169815767,0.002184176692318744,0.0022066666121904905,0.0022283856289460825,0.002250421386740205,0.002271701132227803,0.0022933994260576065,0.0023146713159779234
essentia,2.0653864731083417e-05,3.927459966375703e-05,5.813988803655919e-05,7.616090324780591e-05,9.367541740862526e-05,0.00011163998484930156,0.00013002875634684298,0.0001481320414748391,0.0001658470358887421,0.00018439676958548228,0.00020237419957525285,0.00022077687704065324,0.00023869444477266245,0.0002564933478424908,0.0002745925783671281,0.00029267620188529983,0.00031264432563780464,0.0003305938856680709,0.0003484823410389588,0.0003662082627669525,0.0003847968207048107,0.0004028972499937251,0.000421301902462539,0.00043895280194154973,0.00045670626247766095,0.0004744809957790979,0.0004925173739023084,0.0005103475366666027,0.0005283366775257599,0.000546407208886564,0.0005650277328868324,0.0005828897392797899,0.0006007621728209445,0.0006186457817315343,0.0006363992338286254,0.0006541288106881584,0.0006720134095430222,0.0006902574695103579,0.0007080434666916105,0.0007261463700280489,0.0007436585009416026,0.0007619062280012049,0.0007803053580724496,0.0007982091379527334,0.0008165217771724378,0.000834586236639724,0.00085206013435152,0.0008696549329423348,0.0008875296202152577,0.0009054002652447273,0.0009234532292597491,0.000941809199333697,0.000959631328073435,0.0009776781841414099,0.0009959018430576528,0.0010135404754707227,0.0010314501324157396,0.0010497034582404407,0.001067656023092502,0.0010854243695694404,0.001103399466330948,0.001121139064800798,0.001138732514808474,0.0011569630257743306,0.0011746452714783873,0.0011922661823292973,0.001210284256631812,0.001227891706150493,0.00124634309452235,0.0012640077148495326,0.001282043517246457,0.0012998842287040423,0.001317911214725432,0.0013354053783066222,0.0013529323801457233,0.001370926551670195,0.0013887264390289825,0.0014075270770483458,0.0014255834638354082,0.0014431617006097838,0.0014612817446310491,0.0014790595250184337,0.001496952773667508,0.0015150946352343038,0.0015332067309030506,0.0015513367868040479,0.0015687869865455778,0.0015866329832684794,0.0016082897768048112,0.0016260103658690562,0.0016442140922421893,0.0016620532151940535,0.0016803134369969685,0.0016977562640177722,0.00171551732178187,0.0017330204541668743,0.0017508417391303736,0.0017683867197487734,0.001786477255852354,0.0018043708239526724
blf_delta_spectral,3.840182532164524e-05,6.710010509061464e-05,9.568200492425192e-05,0.00012141096268634559,0.00014826940294698668,0.0001733106648416355,0.0001991092607151696,0.00022468437369855195,0.0002505132066756483,0.00027474113335913434,0.0002996514565007897,0.0003237886620543958,0.00034855482615197376,0.0003725897905507556,0.00039727947790853924,0.00042088918430038114,0.00044554332401184113,0.00047056273422312045,0.0004938546427949342,0.0005177056985351152,0.0005449430462355252,0.0005695919781567851,0.0005930684204769151,0.0006163243972100425,0.0006395144717334423,0.0006632438338943778,0.0006868171952858256,0.0007106871657217833,0.0007340057181377749,0.0007579630267316494,0.0007807179998479964,0.0008045445479546303,0.0008273190034601791,0.0008503011755903283,0.0008740417149491982,0.0008966840903489105,0.0009207872188003039,0.0009430201759362566,0.0009686932132621778,0.0009914103701888274,0.0010142813872437747,0.001036692618973044,0.001058981060327259,0.001081679348908394,0.0011040197128837396,0.0011266955920573546,0.0011501182909061756,0.0011723793503898294,0.0011959557632230137,0.0012191857297849014,0.0012411310449920467,0.0012634667493624347,0.0012865949465483693,0.0013094494972813258,0.0013324944721507055,0.0013560056900068203,0.0013786004602770775,0.0014010555940236274,0.0014236318155703214,0.0014474425244982074,0.0014693943157416919,0.0014924433029719028,0.001514529580949731,0.0015367418931844672,0.0015584072911469266,0.001581569420032117,0.0016039969940426291,0.0016275027061412445,0.0016502394576562095,0.0016721598805904383,0.0016939258591003837,0.0017163651663860365,0.0017391470098573562,0.001761490807505687,0.0017840376808172242,0.001805913396204492,0.0018278069441735568,0.0018504352436744362,0.0018725431907581178,0.00189424986032449,0.0019169821716809863,0.0019390047716881474,0.001960880027400258,0.0019833846577473496,0.002007874380713221,0.0020295411094837044,0.0020515408090735453,0.002074064030618427,0.002096126388875497,0.002118734038449157,0.0021408353975015744,0.0021631710422963094,0.00218613144046597,0.0022091449041116056,0.002231778307765223,0.002253491668256692,0.0022751015738325183,0.0022968609330152366,0.0023192574292027436,0.002341205991827623
blf_correlation,3.961027036627034e-05,7.133547617459504e-05,0.00010171889209226435,0.00013054155736096234,0.0001590308608836764,0.0001870397910071774,0.00021407092570849894,0.00024057327050310622,0.00026670026438522956,0.0002926593893922139,0.0003182322646614354,0.00034279593899970645,0.00036866612476481206,0.00039403274249964727,0.00041930248369698603,0.0004454340025536469,0.00047012667043963953,0.0004939404175053257,0.0005183434931042891,0.0005431931009201042,0.000567903393893618,0.0005930698076984247,0.0006167032253213803,0.000640892794848756,0.0006655238072096724,0.0006890523543021051,0.000712547890426466,0.0007367061512539748,0.0007606103989813448,0.000784521213798164,0.0008093855849883605,0.0008332696732923224,0.0008583452342157569,0.0008814472684973027,0.0009044301971605746,0.0009287562573264057,0.0009512941760638352,0.0009743999920924428,0.0009974002278524616,0.0010216542590200752,0.0010455027225570969,0.001069185984515042,0.0010930162804657978,0.0011160019107701372,0.0011399615933704978,0.0011625812063291861,0.0011853568750736514,0.0012101164782969695,0.0012335161421177252,0.0012565347672424908,0.0012792133791747835,0.0013018604025242053,0.0013246908590418872,0.0013467322305229564,0.0013700484895072412,0.0013930234238784252,0.0014160003365998094,0.0014388592031322077,0.0014622852542491732,0.0014845660518587496,0.001507070357635245,0.001529490178020141,0.0015523431450442783,0.0015750680371590714,0.0015975078622253252,0.0016199211249741871,0.001642240974475462,0.0016652379067202013,0.0016872653895457553,0.0017097220234569433,0.0017318282293533043,0.001754500003467439,0.0017768488713978178,0.001798720469773942,0.0018209851676909456,0.0018439173074690908,0.001867098849020903,0.0018892599044319641,0.001911203226517965,0.0019329608485099048,0.0019554974292385024,0.0019775906787129504,0.001999645736220295,0.0020222351954294277,0.002045070000851269,0.002067047780923495,0.002089746400696976,0.0021121231227750233,0.002134028971443331,0.002155613912032022,0.002177720591245949,0.0021999920612747223,0.002221861961754048,0.0022447940497021305,0.002266066494914517,0.0022885139451551658,0.002310251293752968,0.0023319316213820675,0.002353590887809616,0.002377088375902477
blf_logfluc,4.538749027814089e-05,8.314639312849768e-05,0.00011763440638921134,0.0001539314388044499,0.00018457329834648543,0.00021474132046136313,0.0002444056732959237,0.00027407445756427197,0.0003075686501228274,0.0003351866944063118,0.0003625857207835705,0.00039143435336032567,0.00041961815979278916,0.00044565897757455796,0.00047210560258344994,0.0004978329193426471,0.0005244345802429243,0.0005491725498626467,0.0005755575708715195,0.0006032809602326357,0.000628568656400952,0.0006539482597819279,0.0006786431064738888,0.0007033360626297961,0.0007281388380732571,0.0007525317663725614,0.0007776864546005241,0.000802451159085121,0.000827297778855118,0.0008514117231310286,0.0008771164709945888,0.0009009177126782674,0.0009257980875925995,0.0009505497639690567,0.0009747752645568395,0.0009981915182991894,0.001023251220709131,0.0010485582808269923,0.0010729931738357387,0.0010974831927527105,0.001121175314713481,0.0011456122537270676,0.001168580672716417,0.0011927632672788038,0.0012171983182190354,0.0012407145688871628,0.0012641209616053321,0.0012877570118662405,0.0013109806078599533,0.0013347419345396472,0.0013580507977260935,0.001381360852251837,0.001405719890609566,0.001430826365415342,0.0014542901119810945,0.0014783171202835278,0.0015013796765586617,0.0015253360275713957,0.0015478476413726102,0.0015713953914162134,0.0015940914037505664,0.0016164338268946743,0.001639761416719366,0.001662231346667127,0.0016866168413103865,0.0017099285281984536,0.0017329141798983665,0.001755536819415139,0.0017794690874456335,0.0018030137898083643,0.0018262695742808457,0.001849420524036363,0.0018725199530806428,0.0018954257347474708,0.0019206314168299897,0.0019425201867798666,0.0019648198382024463,0.0019871779141876675,0.002009418836686296,0.002032321785220268,0.0020553925994515497,0.0020775146610621516,0.0020999566017558466,0.0021233558567393374,0.0021470954818597543,0.002172327095340801,0.0021943901251129634,0.002217005803357098,0.0022391796134507923,0.0022612460692343715,0.002285418121391924,0.002307795852144172,0.0023307486900007797,0.002354512900070932,0.0023775155690345857,0.0024012934693785916,0.0024238153669183726,0.002447680104895544,0.002470298141580996,0.00249329735023812
