,MAP_10,MAP_100,MRR_10,MRR_100,Mean NDCG_10,Mean NDCG_100,%DeltaMean,S10,S100
baseline,0.5384678619548107,0.46831824924731785,0.5978725057424378,0.6028631009279318,0.44580568344217986,0.4459892913656235,0.021470588235294026,0.3232459317387943,0.09493181646439364
bert_blf_spectral_resnet,0.7099687834538274,0.588260394290272,0.773099237509721,0.7759025732294168,0.6120632590534189,0.5504434188397967,0.05133333333333331,5.940676134416206,4.368241239206822
bert_blf_spectral_incp,0.7038418866197809,0.5844623885802236,0.767435308112163,0.7702698903072182,0.6056388157754754,0.5470327408568672,0.05000000000000004,10.312801748944967,7.806865007742679
bert_mfcc_bow_resnet,0.7291013159936838,0.6111669527995814,0.7914434267270036,0.7939818015518825,0.6378394897432007,0.5746194657788916,0.06214285714285709,6.194222736057039,4.37517123693876
bert_mfcc_bow_incp,0.7421058020401177,0.634882279448908,0.8028691318507172,0.8051431590022948,0.6569353230398496,0.6025709279925247,0.07083333333333325,9.555807421792741,7.299239393026591
bert_blf_logfluc_resnet,0.6843527531777917,0.6060235794235769,0.7438852895314777,0.7466069893750391,0.6061567908015351,0.5809446873322734,0.046571428571428646,3.9597526019374985,2.8797209557853356
bert_blf_logfluc_incp,0.6843546323200767,0.6060166922212504,0.7438819017649453,0.7466065484775577,0.6061636283193359,0.5809341677330482,0.046486486486486456,3.960009454370281,2.879688217789606
tfidf_blf_spectral_resnet,0.7099337305818568,0.5882378993807515,0.7730734303598918,0.7758792841861103,0.6120252863928833,0.5504243217295551,0.05125000000000002,5.941250380336672,4.368690335472165
tfidf_blf_spectral_incp,0.7035925966935538,0.5842591547535103,0.7671693568770389,0.770008238586787,0.6053255788856591,0.5468141372332738,0.05028571428571423,10.306987596665541,7.806770837347242
tfidf_mfcc_bow_resnet,0.7290732700255222,0.6111429215788535,0.791483785085641,0.7940204845061651,0.6378074992100488,0.5745939068471334,0.06216216216216208,6.196735244099461,4.375968933511141
tfidf_mfcc_bow_incp,0.7419645259311404,0.6347585192734916,0.8026765841508487,0.8049561942007005,0.6567716400726015,0.6024637233829893,0.07083333333333325,9.53531135465541,7.301717069495321
tfidf_blf_logfluc_resnet,0.6843855039298954,0.6060284404727722,0.7438701659866853,0.7465901284796804,0.606164794531611,0.5809455928819527,0.046571428571428646,3.9594869873658993,2.8797495777579876
tfidf_blf_logfluc_incp,0.68436997966962,0.6060160796848544,0.7439348341717188,0.7466596889342811,0.6061601516571298,0.5809344044219756,0.046486486486486456,3.960076413278335,2.8797463252373836
