,MAP_10,MAP_100,MRR_10,MRR_100,Mean NDCG_10,Mean NDCG_100,%DeltaMean,S10,S100
baseline,0.5384678619548107,0.46831824924731785,0.5978725057424378,0.6028631009279318,0.44580568344217986,0.4459892913656235,0.021470588235294026,0.3232459317387943,0.09493181646439364
tfidf,0.6130048268120856,0.5337172187156447,0.6756596547993089,0.679564596454967,0.5229455660518286,0.5094080680081171,0.062432432432432496,4.6873693382968495,4.214573570018961
word2vec,0.6204176535975338,0.5317765454380387,0.688515465674525,0.6919097096184347,0.5266734274663327,0.505861005411862,0.10260869565217388,16.733727345089765,10.633336634042367
bert,0.6626828241432507,0.5821966905032155,0.7249219194969548,0.7278650134591902,0.5802945108207213,0.5581426532005614,0.05772727272727271,12.455222836461145,6.382306243856089
mfcc_bow,0.6868263604778719,0.6118842153037114,0.7455286511393648,0.7482268892478902,0.6096342155990558,0.5892697490332777,0.057407407407407435,3.5424118048413087,2.684883062241348
mfcc_stats,0.6647575865639869,0.5900620193966349,0.7235866654271834,0.7265341244335801,0.5851112950258516,0.5666453833563025,0.04425000000000008,4.471769291859657,3.8982106570904533
essentia,0.5895882279920553,0.5185820522399007,0.6518040088031056,0.6557705674838343,0.5004324040051353,0.4969071700556696,0.019444444444444525,-0.0498509489111422,-3.9081308738814293
blf_delta_spectral,0.6602962992359762,0.58001491280313,0.7247854838482161,0.7276993371365031,0.5765408087827206,0.5563452695756756,0.04142857142857151,5.728301220515619,4.06035884876777
blf_correlation,0.6592844291427478,0.576151474924958,0.7215919068685637,0.7245901963665399,0.5757175008893972,0.5505533406006236,0.09724137931034484,6.644647377431607,5.174368276900557
blf_logfluc,0.6843556324856973,0.6060205023593294,0.7438602397151224,0.7465829085694199,0.6061715792628877,0.5809330874900231,0.046486486486486456,3.9616193874757784,2.8798240742026047
blf_spectral,0.691341559488059,0.6139242607086217,0.7524883896731626,0.75511959830055,0.6136633651916534,0.590432067903511,0.07749999999999997,3.3849365176787645,2.8072923511490533
blf_spectral_contrast,0.6485343258841415,0.578089455184485,0.7067799556607265,0.7099234831453543,0.5677468274471001,0.555877171546673,0.03999999999999998,2.541152788595671,2.160802739881112
blf_vardelta_spectral,0.6681091684199859,0.590295617118885,0.7272117953012025,0.730293984838317,0.588490184882483,0.5658891038430147,0.06657142857142852,4.4068635757513706,3.595638841920852
incp,0.7034185001647671,0.5841810752541896,0.7669645241876125,0.7698003717975139,0.6052067463484881,0.5467359150168507,0.049999999999999975,10.293367098516564,7.804724996892542
vgg19,0.6964245227823656,0.5757396667525939,0.7606903747887271,0.7637161702820646,0.595535063816683,0.5377180100173717,0.05124999999999993,4.907004659650009,4.086324153949725
resnet,0.7098910043677614,0.5882210757943986,0.7730624287904194,0.7758698092890066,0.6119923900853259,0.5504081768371845,0.05124999999999993,5.942343927547324,4.368070000388629
