,MAP_10,MAP_100,MRR_10,MRR_100,Mean NDCG_10,Mean NDCG_100,%DeltaMean,S10,S100
baseline,0.5384678619548107,0.46831824924731785,0.5978725057424378,0.6028631009279318,0.44580568344217986,0.4459892913656235,0.021470588235294026,0.3232459317387943,0.09493181646439364
bert_essentia_vgg19,0.5922537779901064,0.523686396476077,0.6527580466392546,0.656715108855347,0.5043146877243831,0.5024959844288678,0.016756756756756686,0.001424315089987813,-1.6437936276105198
bert_essentia_resnet,0.5922537779901064,0.523686396476077,0.6527580466392546,0.656715108855347,0.5043146877243831,0.5024959844288678,0.016756756756756686,0.001424315089987813,-1.6437936276105198
bert_blf_logfluc_vgg19,0.6867292550660563,0.6088188190312707,0.7453346061160633,0.7479585141822156,0.6090434875688524,0.5841490594358324,0.0570588235294117,3.335601218911996,2.3552919471148037
bert_blf_logfluc_resnet,0.6866986044415203,0.6087865090692506,0.7454018353600965,0.7480308516012614,0.6089866248458227,0.5841165038691675,0.056904761904761916,3.3396532480049417,2.3561791672820416
bert_mfcc_stats_vgg19,0.691774275916613,0.6055022277035124,0.7519624244661031,0.7546270316535069,0.6096118510088661,0.5796498594314031,0.09588235294117642,6.557093012945504,4.972693481487386
bert_mfcc_stats_resnet,0.6832287582051021,0.6033263915514334,0.7426039737923307,0.7454215536504021,0.6028085414873486,0.5787765708352847,0.07866666666666665,5.8688151776574315,3.970498611751212
tfidf_essentia_vgg19,0.5922655469756913,0.5236961413405253,0.6526866607328722,0.6566464251682185,0.5043548159860752,0.5025003489403378,0.01676470588235295,0.0019577723350123134,-1.6436315196508302
tfidf_essentia_resnet,0.5922655469756913,0.5236961413405253,0.6526866607328722,0.6566464251682185,0.5043548159860752,0.5025003489403378,0.01676470588235295,0.0019577723350123134,-1.6436315196508302
tfidf_blf_logfluc_vgg19,0.6867376984028795,0.6088183126110353,0.7453534469541666,0.7479801971338855,0.6090380071553044,0.5841493371081402,0.0570588235294117,3.335832233452286,2.3553267276363212
tfidf_blf_logfluc_resnet,0.6867052575192771,0.6087867685386539,0.7454021706680467,0.7480323723119022,0.6089924393202528,0.5841177624437692,0.056904761904761916,3.339924563982604,2.356130170281445
tfidf_mfcc_stats_vgg19,0.6917552638457142,0.6054988363765594,0.7519468210840713,0.7546128225559273,0.6096051395361728,0.579646595708502,0.09583333333333341,6.557678751625257,4.972553573715735
tfidf_mfcc_stats_resnet,0.6832239902962725,0.6033209320984428,0.7426034650492336,0.7454212683995914,0.6028044759421409,0.5787748223966755,0.07866666666666665,5.868036943569299,3.9701906835072305
