,MAP_10,MAP_100,MRR_10,MRR_100,Mean NDCG_10,Mean NDCG_100,%DeltaMean,S10,S100
baseline,0.5384678619548107,0.46831824924731785,0.5978725057424378,0.6028631009279318,0.44580568344217986,0.4459892913656235,0.021470588235294026,0.3232459317387943,0.09493181646439364
tfidf,0.6130039249493225,0.5337171759325001,0.6756596547993089,0.679564596454967,0.5229452746111877,0.5094079094535389,0.062432432432432496,4.6873693382968495,4.214573666276131
word2vec,0.6247588037781876,0.5390645061059626,0.6913958650286064,0.6947708067223375,0.5331324227992554,0.5136443298927894,0.09885714285714288,14.727740165521553,9.08588991867064
bert,0.6618793468674818,0.5811926372901122,0.7249539876555798,0.7279301712734114,0.5790119713706019,0.5570181685117589,0.05464285714285718,9.010341593652827,5.46156346102964
mfcc_bow,0.6874741624439612,0.6127154069464835,0.7461124800925357,0.748768187054999,0.6103392542038959,0.5901680133691387,0.05472222222222219,3.4633518557385647,2.6358989322053934
mfcc_stats,0.6641737909901992,0.5904249318756104,0.7223917492969516,0.7253431455292259,0.5848753156918894,0.5674244259012652,0.07500000000000004,4.101405016449136,3.3281975645835566
essentia,0.5923517975198509,0.5237024197301746,0.6529309730428595,0.6569004294414277,0.5043337551369722,0.5025076670078713,0.016750000000000043,-0.001486051860002464,-1.6435657861826556
blf_delta_spectral,0.6615639416463922,0.5833877283469042,0.7249886457790626,0.7279246052510508,0.5788442885261039,0.5600563721969841,0.03799999999999997,4.718627407732236,3.283703777478427
blf_correlation,0.6707128381181044,0.5904797282027877,0.7324328233646279,0.7352917541728881,0.5903710936056862,0.5659861446527602,0.07424999999999997,6.8625383616304,5.17035907202544
blf_logfluc,0.6866978112670767,0.6087726394974559,0.74540418829692,0.7480340864020772,0.6089806189304073,0.5841114694217866,0.056842105263157805,3.3395644179600974,2.356133187337949
blf_spectral,0.6949977252764628,0.6187811924241724,0.7549980771823404,0.7575771711247447,0.6182903084149196,0.5957597902886757,0.07447368421052628,3.1744585542340817,2.6818445461453435
blf_spectral_contrast,0.6588348308054253,0.5916403337631737,0.715049366580157,0.7181057934222234,0.5815129530679093,0.5702744202883276,0.044054054054054125,2.272711002644576,1.933933162095612
blf_vardelta_spectral,0.6708231338211202,0.5962629450775363,0.7296403209428951,0.7327289295174818,0.5929640496935468,0.5732796555594989,0.06078947368421059,3.827498351482457,3.0009855883656447
incp,0.7045724204130797,0.586208230146652,0.767316418319099,0.7701608413365838,0.6061428245881471,0.5481532716010045,0.03965517241379306,16.713535528701442,10.38958700988127
vgg19,0.6957368218910127,0.57409890502027,0.7596992622993846,0.7627411999969551,0.5940516660499492,0.5360219791898843,0.045999999999999985,4.44650436884332,3.533352359420351
resnet,0.7094425554053442,0.589172198395226,0.7727196689099926,0.7754920957340911,0.6123906998015797,0.5516106520217506,0.04233333333333332,5.707345472810568,4.307853997341557
