,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
baseline,0.6899268159203761,0.6320316114157865,0.6033098377157649,0.5846549897411929,0.5714140575627874,0.5611180170870749,0.5529891309563123,0.5461980758691733,0.5403396815641597,0.535317613868778,0.530946974139217,0.527071246383135,0.523689016698398,0.5205686025183598,0.5177656146335834,0.5151932409971353,0.5128239229053778,0.5106127131340364,0.5085961951143897,0.5067003569943336,0.5049141649531976,0.5032218684116154,0.5016183490864056,0.5000885983770958,0.49866191168928886,0.4973212684832211,0.4960404193175544,0.49481348470791653,0.49365623267902153,0.4925172795759142,0.4914294066998499,0.4903780672051832,0.4893749373204079,0.4884066794653028,0.4874957722408022,0.4865953779918385,0.4857301454013643,0.4848839772481981,0.4840635209421862,0.4832665662299554,0.48249376627046353,0.4817512439539242,0.4810205891909312,0.48029855712199643,0.4795962406420142,0.4789251655436152,0.4782554367809317,0.47758736047531436,0.4769460385617324,0.47629445772724904,0.47568056093878947,0.47507386828892056,0.4744822807787606,0.47388519554265984,0.4732995489258566,0.47271769104061523,0.47214791399039335,0.4715790230751419,0.47103625443385166,0.4704984392883849,0.46996439060179535,0.4694389455374349,0.46892762499473406,0.4684263500399068,0.4679142547768782,0.46740784432230337,0.4669068721585923,0.4664065546786848,0.4659073018171472,0.46541244894972267,0.4649194263451576,0.46442205045109014,0.46392596941920833,0.46343911028736856,0.46294449329074566,0.46245710834149273,0.4619707881425196,0.461467459241219,0.46097052712335285,0.4604762716339932,0.45997629211961855,0.4594803330124843,0.4589808359592749,0.4584799428649941,0.45796538404093773,0.4574399900067755,0.45689923240099967,0.4563450119154667,0.4557758764726918,0.4551931256908711,0.4545870458872018,0.4539585885064262,0.4532998236493016,0.45260443622970065,0.45186511959623094,0.4510580285866087,0.45017787503225626,0.44915790509093945,0.4479303885138694,0.44606955026878653
tfidf,0.757489610120633,0.7029013708914716,0.673908679874488,0.6547718579116292,0.6411402293917946,0.6304201354735169,0.6218862612911052,0.6146820096631455,0.6085710377553568,0.6032946481557666,0.5987067268331855,0.5945286298363622,0.5909252509343529,0.5875568151553976,0.5845754405454147,0.5817625043721691,0.5792482866262104,0.5768718048017264,0.5746571114279019,0.572520237524211,0.5705108524257616,0.5686612173788969,0.5668855851546022,0.565210562643362,0.5636393115811869,0.562166260072118,0.5607138164303828,0.5593339369865573,0.5580177039006914,0.5567501501171659,0.5555137049754245,0.5543321588341761,0.5531940263847069,0.5521031446657538,0.5510500029863586,0.5500611883201719,0.5490869397575373,0.5481625791887725,0.5472628999444639,0.5463873784212093,0.5455432717066944,0.5447019275352348,0.5438709021333595,0.5430686709714445,0.5423048837047925,0.5415580376629867,0.540817244984606,0.5400930226001385,0.539389305691064,0.5387008217306488,0.5380207260981176,0.5373507683913764,0.5366900649376052,0.5360439809835137,0.5354120983265351,0.5347946338499895,0.5341630629112789,0.5335601018058908,0.5329591030957523,0.5323640108941047,0.5317611340773801,0.5311666394259438,0.530590745091617,0.5300147858734682,0.5294405250055483,0.5288681611453173,0.5283066275882129,0.5277506775029798,0.5271890674181239,0.5266350759140871,0.5260840190115856,0.5255374477175154,0.5249993625210629,0.5244672462967757,0.5239331373998639,0.5233941348448734,0.5228501079150931,0.5223197563245942,0.5217847889390619,0.5212447961580337,0.5206964182472996,0.5201379975386239,0.5195812041959761,0.5190229763956471,0.5184576694729967,0.5178765076253823,0.517294175712105,0.5166989647617473,0.51609658529268,0.5154711443241212,0.5148243376523529,0.5141589203205805,0.5134655756013561,0.5127355344856493,0.5119579601827962,0.5111341336508402,0.5102275399078788,0.5091799643297805,0.5079091125412026,0.5060554187730493
word2vec,0.7696321047228782,0.7127192247545099,0.6827185017229134,0.6632502433508227,0.6490299859441785,0.6379434224651918,0.6292371162919371,0.6218022480064296,0.6154822872394324,0.610001359144385,0.6051769889258984,0.6008873730212853,0.597024179958152,0.5935570225647455,0.5904043774523388,0.587465763324173,0.5847020256826606,0.5821478261861988,0.5797982270457626,0.5775727741884198,0.5755723257596995,0.5736355180834165,0.5718261792788859,0.570060437363588,0.5684336909586879,0.566882775542758,0.5653973841591946,0.5639977419814654,0.5626832461932737,0.5613630864741981,0.5601086629881469,0.5589138586059939,0.5577539375967623,0.5566300757250837,0.5555517954721657,0.5544949920616619,0.5534747141777533,0.5524944870245224,0.5515287268921638,0.5505971459735902,0.5496758045639948,0.5487827758928536,0.5479149671984255,0.5470724600609896,0.5462506558108888,0.5454483384075153,0.5446487868967551,0.5438805182538016,0.5431299756177853,0.5423861418484685,0.5416716692186722,0.5409549496544193,0.5402520952785459,0.5395583468361,0.5388800728579717,0.5382179096858156,0.537569676648457,0.5369156447098827,0.5362847471016844,0.5356594157439867,0.5350443742301373,0.5344365567500735,0.5338231331135997,0.5332329718067623,0.5326443557819279,0.5320607632104873,0.5314935564990186,0.5309323399077688,0.5303661632513531,0.5298050797564395,0.5292489531268318,0.5286993550569845,0.5281420664427164,0.5275839550534961,0.5270234065942626,0.5264584369858585,0.5259057697538513,0.5253445984889809,0.5247902491680041,0.5242296816078119,0.5236714743174106,0.5231069907443602,0.522538590953408,0.5219738644624765,0.5214061413765523,0.5208143898025586,0.5202200853228302,0.5196246077413401,0.5190012768124875,0.5183699002787184,0.517712369450963,0.5170400510470041,0.5163304373371185,0.5155877481705031,0.5148023936186102,0.5139500311715275,0.5130227454236864,0.5119585420264899,0.5106765988875873,0.508786002534926
bert,0.7979709908745712,0.7479385489936222,0.7207050976180577,0.7024330197975814,0.6889578591904182,0.6783932469500396,0.6698331842025533,0.6627062611418701,0.6566640759533166,0.6514045049220344,0.6466820555124749,0.6425489612110817,0.638771175090133,0.6353040714603376,0.6322374467505968,0.6294058252819752,0.6267690862973059,0.6242706950445764,0.6219869439926271,0.6198676106734756,0.617877468795371,0.6160291232404221,0.6142623162557345,0.6125944971116845,0.6109933615428664,0.6094792234314145,0.6080153706771155,0.6066048568180491,0.6052329242158476,0.6039318576326554,0.6026857151155234,0.601479168341857,0.6003385188279763,0.5992100093903137,0.5981115913866578,0.5970541557429743,0.5960513480810596,0.5950804957527361,0.59413493581025,0.5932116143295368,0.5923288669465663,0.591473705806273,0.5906347413467821,0.5898089891273673,0.5889826044456774,0.5881741023977741,0.5873820334804366,0.5866037087394369,0.5858634478713646,0.5851104090714618,0.5843976713905991,0.5836954084844609,0.5830066430188091,0.5823231306320439,0.5816606576424928,0.5810230779207676,0.5803919603160602,0.5797594450790862,0.5791215864634307,0.5784879070462566,0.577864701494731,0.5772481915196666,0.5766455072938718,0.576060786051299,0.57547226809352,0.5748848468197083,0.5743132831918311,0.5737484661281127,0.5731862051591531,0.5726139076016469,0.5720331698140799,0.5714646256861541,0.570903101485019,0.5703454633164671,0.5697882464833868,0.5692316471748218,0.5686737173232831,0.5681278380077287,0.5675615770970106,0.5669934820099374,0.5664408612637295,0.5658773569184232,0.5653077841934951,0.5647271703181553,0.5641448175200122,0.5635454074185529,0.5629453255946616,0.562347727838816,0.5617304800965925,0.5610898185093741,0.5604394527534232,0.5597649849321628,0.5590625690152924,0.5583297845866677,0.5575530856442675,0.556715787530046,0.5557743085074511,0.5547084065811446,0.5534027591072287,0.5515790853862851
mfcc_bow,0.8172834692130936,0.7725037964805265,0.7470758201285893,0.7298017087023836,0.7170424037423244,0.7073462112606642,0.6993256928516955,0.6925494863447602,0.6867292000841301,0.6815578079236649,0.6770930070101583,0.6731061631072338,0.6695080310390871,0.666266901775915,0.6632971281041715,0.6604955043759952,0.6579761538597264,0.6555703268926404,0.6533286957540271,0.6512441890048316,0.6492893500882482,0.6474872493386861,0.6457819100368902,0.6441183874060353,0.6425314920710766,0.6410019274291546,0.639591998930634,0.6382044556178235,0.6368906447883382,0.6356531185447714,0.6344493071672317,0.6332912696112101,0.6322113089205891,0.6311378579845353,0.6301098610377176,0.6291051326816854,0.6281330761714294,0.627203860672634,0.6262640367802874,0.6253705713161113,0.6244970725196153,0.6236352842809749,0.6228007405580795,0.621994459305717,0.6212042886577834,0.6204340631114782,0.6196532323610469,0.6189032717646374,0.6181608786761226,0.6174313081045004,0.6167304186727588,0.6160631716489624,0.6154066085319903,0.6147564565759845,0.6141108390918854,0.6134827895587759,0.6128628986142756,0.6122634900087995,0.6116652324639129,0.6110659501579526,0.6104769383468487,0.6098891781786813,0.6093112504223598,0.6087382423612611,0.6081609195982723,0.6075923525572601,0.6070248266176723,0.6064655462831772,0.6059039232054615,0.6053502002491177,0.6048046763358121,0.6042575539641987,0.6037146081457723,0.6031767962241893,0.6026395399114785,0.602095805154753,0.6015685583033458,0.6010319847452084,0.6004872487824612,0.5999491118501664,0.5994116082142672,0.5988660242537289,0.5983192155934375,0.5977726047844777,0.5972151689487646,0.5966499586074767,0.5960775342394039,0.5954997482055991,0.5949042253147854,0.5942923884375143,0.5936686542530969,0.593017319434493,0.5923375746193973,0.5916304546375228,0.5908798218378397,0.5900570697010823,0.5891493461380568,0.5881191460776555,0.5868461850774294,0.5851176410600136
mfcc_stats,0.798264155754121,0.7515451479254246,0.7255615098949544,0.7081023393217899,0.695515027729343,0.6854806808560064,0.6774063806085376,0.6705452684136086,0.6646458266352127,0.6596134899395099,0.6550391594713438,0.6509573958691458,0.6472494241084459,0.6439026725700415,0.6409285482042648,0.6382155481971266,0.6357039672450372,0.6333595506918961,0.6311561708565436,0.6291234033751335,0.627208407277382,0.6254062719119623,0.6236694538575812,0.6220467843204641,0.6205051686861758,0.6190243720708009,0.6176116538038134,0.6162714832258385,0.6149799179686856,0.6137654310712598,0.6125795865569307,0.6114356885733114,0.6103004833392903,0.6092217167251152,0.6081517852491001,0.6071328867582447,0.6061378356375705,0.6051807658422488,0.6042570513785508,0.6033590571324717,0.6024866183345087,0.6016462508517438,0.6008332297088217,0.6000566829214707,0.5992707594231613,0.5985110633589507,0.5977677779860646,0.5970373686763618,0.596316179915418,0.5955917675238589,0.5949060133510463,0.5942359443478749,0.593576059614829,0.5929321199473786,0.5923036833347411,0.5916863367188091,0.5910680302650191,0.5904538856800642,0.5898519056789105,0.5892451208379389,0.5886583340136546,0.588067044169146,0.5874909998023436,0.5869184452983737,0.5863421084120976,0.5857662009963132,0.5852010203392374,0.5846481514522314,0.5840936457290139,0.5835537133973817,0.5830138494823837,0.5824730707511596,0.581929593092704,0.5813848422228228,0.5808488825492436,0.580308513468921,0.5797700181264807,0.5792366542456431,0.578692560984268,0.5781390811466304,0.5775956916475214,0.5770434792411706,0.5764839430356947,0.5759271359159239,0.5753660824684548,0.5747989723525615,0.5742136710532779,0.5736165209832202,0.5730244290415424,0.5724093692464944,0.571771631761529,0.5711230298320888,0.5704497321531278,0.569735377728713,0.5689855918129647,0.5681740614563849,0.5672542656830438,0.5661940456509696,0.5649019911679347,0.5631310732652489
essentia,0.7418921894658819,0.6874990836146891,0.658862859489175,0.6407973364214253,0.6276871839588469,0.6175286215258701,0.6095944274270283,0.6028159495104214,0.5969845778379799,0.5919921575365468,0.5877708972327925,0.5839833402475424,0.5806059931949016,0.5774310732931893,0.5745955912777492,0.5719317987719376,0.5694848313882207,0.5672748605939684,0.5652270563824207,0.5633569089429513,0.5615731145237605,0.5598786352981876,0.5582717201963204,0.5567771812404592,0.5553307086919684,0.5539851806445509,0.5527044015069538,0.5514817313956047,0.5503005495622042,0.5491655262276399,0.5481102854567907,0.5470676456141617,0.5460669905901065,0.5451032733085532,0.544173579557255,0.5432683975382757,0.5424007604246697,0.5415489812368685,0.5407187116593511,0.5398963096820653,0.5391049167682193,0.5383398701759908,0.5375897129357662,0.5368619018013333,0.5361222803849509,0.5354359341345363,0.5347618711299398,0.5340816623734601,0.5334209168732296,0.5327591672998105,0.5321234582077845,0.5314949651544941,0.5308923612607649,0.5302826476283188,0.5296932965831105,0.5291174734950915,0.5285653431302718,0.5280061116163526,0.5274464352178196,0.5268846197265743,0.5263354335126825,0.5257913805107055,0.5252550108673444,0.5247155189210618,0.5241958258221691,0.5236746668879368,0.5231578905017186,0.5226346962040287,0.5221325887939959,0.5216315624305675,0.521136499321072,0.5206379710967384,0.5201357888055859,0.5196382410371185,0.5191390050821304,0.5186488873091553,0.5181610095374213,0.5176634905156196,0.5171702229333911,0.5166735906942053,0.5161636505600452,0.5156524316866099,0.5151263353314735,0.5145966458570924,0.5140577096603051,0.5135123658732867,0.5129543430916145,0.512396658466585,0.5118255013188638,0.5112321426415678,0.5106253751027797,0.5099819006718317,0.5093161373251849,0.5086023085743808,0.507858229121851,0.5070590024087619,0.5061756983010613,0.5051533529333913,0.5038840878887051,0.5020403257528316
blf_delta_spectral,0.8013863467073781,0.7513121122394708,0.7234544288784345,0.7047935230998744,0.6913721058037151,0.6810914782598645,0.6726447037316594,0.6655369146938309,0.6594613784328694,0.6542675054154949,0.6496535597214986,0.6455314485242183,0.6417659091254948,0.6383753615532829,0.6353331207568811,0.6325208300890774,0.62987991745713,0.6274536135756759,0.6251905410063757,0.6230740821484976,0.6210587249173859,0.619217362659253,0.6173838648673534,0.6156909693704384,0.6141069216615836,0.6125681189791571,0.6110852523863822,0.6096567440748524,0.6083435524328561,0.6070637743394146,0.6058159803560941,0.6046257335351651,0.6035153083778114,0.6024268280563343,0.6013664732075824,0.6003315763810976,0.5993457116521151,0.5983849940751299,0.597466945277088,0.5965551707280502,0.5956732883382947,0.5948057669329083,0.5939561647143944,0.5931253177137583,0.5923079820243294,0.5915124122714466,0.5907251432805374,0.5899579317902607,0.5892307548278594,0.5885124296236292,0.5878087594614315,0.5871112366956182,0.586438462470553,0.5857668912055453,0.5851169257776938,0.5844535237384412,0.5838089874695683,0.5831745992969436,0.5825444675431478,0.5819249047853405,0.5813138402208811,0.5807152612313935,0.5801272083510909,0.579540674244873,0.5789705592068225,0.5783932674512262,0.5778233058552134,0.5772706255768167,0.5767127360359201,0.5761585586773161,0.5756022391165103,0.5750345825905887,0.5744865061450721,0.5739338080087075,0.5733858746409384,0.572847722790174,0.5723079200551866,0.5717654088820013,0.5712164437955398,0.5706752178074517,0.5701237764504378,0.5695481048474692,0.5689795208318429,0.5684060612907094,0.5678443834949425,0.5672660522901207,0.5666794305222008,0.5660908277953625,0.5654733598730489,0.5648445285823555,0.5641877005128761,0.5635112506992282,0.5628147751570778,0.5620759139551356,0.5613002091696845,0.5604564953633703,0.5595373379519545,0.5584746872874907,0.5571679043314177,0.5553433079354861
blf_correlation,0.8060823298536468,0.7581050351792578,0.73122766986678,0.7131575856699048,0.6999843271325739,0.6894517466606627,0.6809371467164053,0.6737622302832339,0.6675900470114586,0.6622508336062536,0.6575356801244627,0.6532804715610211,0.6494889710154103,0.6459689725396967,0.6428380633419493,0.6398542946730673,0.6371344947628965,0.6345556238003639,0.6321816783034782,0.6299711760063632,0.6279122801637249,0.625925732298796,0.6241197945785554,0.622357355127514,0.6206946117101416,0.6191060686351098,0.6175886558076086,0.6161179864574211,0.6147404933856268,0.613393257975582,0.6121279682502657,0.6108649223232042,0.6096816161856751,0.6085555039435661,0.6074573931226543,0.6063862973965033,0.6053600852979715,0.6043464350489727,0.6033724335646192,0.602401134300099,0.6014726436915077,0.6005410012238236,0.5996617693026082,0.5988124464845779,0.5979744969629827,0.5971338527481793,0.5963406995389172,0.5955580282988616,0.5947899050290006,0.5940479707534,0.5933103012292055,0.5925796014976059,0.5918652369673555,0.5911661126780426,0.590488821461003,0.5898114424850134,0.5891602221815694,0.5885200851130801,0.5878765589439565,0.587250003873444,0.5866245580984004,0.5859932183957485,0.5853800794032338,0.5847705510453244,0.5841658191714394,0.5835582093764241,0.5829721320746867,0.5823777604383842,0.5817947574707367,0.581227165161953,0.5806629928207752,0.5800973092476774,0.5795257512018201,0.5789627787949788,0.5783977145490984,0.5778342984344146,0.5772704063010217,0.5766915663236325,0.5761240604530432,0.5755535929802373,0.5749753901794684,0.5744037200085765,0.5738223928157377,0.5732443115763391,0.5726564604407015,0.5720649630775293,0.5714589009342291,0.5708337559932799,0.5702078159366383,0.5695772629892951,0.5689159839447558,0.5682414741498321,0.5675226881359987,0.5667740071214264,0.5659874481838654,0.5651482934993906,0.5642044504781144,0.5631445542665742,0.5618356199338452,0.5600037878236016
blf_logfluc,0.8171941124446183,0.7719013182531456,0.7461976030976954,0.7284752242555207,0.7157339847918834,0.7056719342526756,0.697359888974232,0.6903299286957219,0.6843978486225738,0.6791686735572044,0.6746290836401667,0.6705224077609268,0.6667585248839291,0.6633193757053352,0.6601626625428798,0.6572955248998708,0.654610027587098,0.6521588500788819,0.6498683078379741,0.6477241130969166,0.6457023323404872,0.6437627223110075,0.6419212985881643,0.6401822498055885,0.6385070196007612,0.6369465254700851,0.635444276499761,0.6340293871429207,0.6326304231152372,0.6312916824739698,0.6300209345138812,0.6287840154933407,0.6275733093321383,0.6264284188503167,0.6253247861100547,0.624234502750159,0.6231821704438529,0.6221704545329199,0.6211942551302039,0.6202430018401611,0.6192875528498671,0.6183746119290553,0.6175085014736444,0.6166449752713783,0.6158031259433725,0.6149788043996344,0.61419341930129,0.6134107389067687,0.6126474380172447,0.6119010257734933,0.6111677844533866,0.6104497040067016,0.6097464821263084,0.6090482776212945,0.6083609482064495,0.6076848299550013,0.6070096898980177,0.6063621500667896,0.6057130236274486,0.605073678133821,0.6044487696932109,0.6038356167061375,0.6032219434691718,0.6026190958762113,0.6020305631764731,0.6014474406125356,0.6008626838685712,0.6002725592832862,0.5996908948376389,0.5991131144001731,0.598521278874779,0.5979291953040937,0.5973480472415262,0.5967857451627043,0.5962052678545231,0.5956337420171464,0.5950610983481089,0.5944932320758279,0.5939229866643726,0.5933489254244172,0.5927800229300769,0.5922109937952621,0.5916386550663026,0.59105130494802,0.5904668112810153,0.5898701874324416,0.5892682999831357,0.5886523605538484,0.5880263784745077,0.5873857866626925,0.5867274790789038,0.58604022984637,0.5853420191760148,0.5845922528544317,0.5837922198402282,0.5829402294808721,0.5820007950187879,0.5809231199054135,0.5796245419183641,0.5778203988869531
