index,relevants
0,28841.0
1,2787.0
2,35832.0
3,11417.0
4,37754.0
5,41855.0
6,4825.0
7,28889.0
8,36805.0
9,40047.0
10,21286.0
11,35598.0
12,30231.0
13,46194.0
14,36179.0
15,48795.0
16,37188.0
17,25412.0
18,35359.0
19,2846.0
20,5488.0
21,49991.0
22,48604.0
23,47376.0
24,12422.0
25,33912.0
26,49567.0
27,47255.0
28,34098.0
29,51041.0
30,37793.0
31,51246.0
32,33970.0
33,32649.0
34,13859.0
35,8167.0
36,49060.0
37,11348.0
38,38295.0
39,34471.0
40,28892.0
41,50218.0
42,54715.0
43,1035.0
44,40079.0
45,50130.0
46,14730.0
47,34118.0
48,33912.0
49,37558.0
50,18074.0
51,36318.0
52,2237.0
53,37257.0
54,33688.0
55,51281.0
56,46345.0
57,39705.0
58,5438.0
59,47973.0
60,43177.0
61,12210.0
62,27057.0
63,33316.0
64,46582.0
65,51680.0
66,757.0
67,47889.0
68,34346.0
69,28841.0
70,51068.0
71,6015.0
72,28978.0
73,7475.0
74,18185.0
75,47353.0
76,30231.0
77,31645.0
78,46092.0
79,49881.0
80,54148.0
81,46814.0
82,12534.0
83,93.0
84,23179.0
85,53022.0
86,35623.0
87,1071.0
88,13734.0
89,10579.0
90,28843.0
91,4222.0
92,45991.0
93,1635.0
94,54338.0
95,49656.0
96,39760.0
97,39445.0
98,40518.0
99,48031.0
100,40604.0
101,40235.0
102,5366.0
103,49061.0
104,42375.0
105,53272.0
106,47033.0
107,41030.0
108,45688.0
109,8895.0
110,564.0
111,7751.0
112,53606.0
113,37032.0
114,24648.0
115,50038.0
116,50072.0
117,31023.0
118,12595.0
119,16428.0
120,39557.0
121,46875.0
122,43634.0
123,48010.0
124,39751.0
125,36981.0
126,1996.0
127,41588.0
128,51439.0
129,8249.0
130,49051.0
131,5377.0
132,13428.0
133,30936.0
134,37893.0
135,43070.0
136,50776.0
137,19259.0
138,8219.0
139,43296.0
140,38832.0
141,37499.0
142,18545.0
143,7036.0
144,4712.0
145,883.0
146,33958.0
147,38950.0
148,22333.0
149,30969.0
150,2611.0
151,46219.0
152,31935.0
153,46185.0
154,37573.0
155,36230.0
156,49882.0
157,1209.0
158,38925.0
159,7036.0
160,39842.0
161,47694.0
162,1814.0
163,45705.0
164,28841.0
165,41990.0
166,13663.0
167,49172.0
168,35626.0
169,35729.0
170,36005.0
171,40577.0
172,48099.0
173,45146.0
174,46585.0
175,14003.0
176,34954.0
177,47702.0
178,46378.0
179,50850.0
180,37437.0
181,34704.0
182,14143.0
183,30789.0
184,38044.0
185,52939.0
186,20588.0
187,35412.0
188,36858.0
189,29075.0
190,58.0
191,13555.0
192,2646.0
193,50356.0
194,46976.0
195,12243.0
196,55035.0
197,11079.0
198,48531.0
199,1514.0
200,51.0
201,31950.0
202,49725.0
203,40889.0
204,31794.0
205,50937.0
206,51536.0
207,49224.0
208,6005.0
209,11404.0
210,48407.0
211,46096.0
212,49184.0
213,50536.0
214,15531.0
215,31312.0
216,36678.0
217,39337.0
218,50418.0
219,46980.0
220,32754.0
221,42226.0
222,46400.0
223,4231.0
224,32306.0
225,7127.0
226,33793.0
227,28953.0
228,48153.0
229,48075.0
230,11482.0
231,42992.0
232,38744.0
233,4245.0
234,7768.0
235,353.0
236,50523.0
237,46756.0
238,54811.0
239,13611.0
240,4417.0
241,7575.0
242,44329.0
243,8420.0
244,27.0
245,48531.0
246,35108.0
247,23586.0
248,50789.0
249,36514.0
250,4457.0
251,48757.0
252,54225.0
253,51355.0
254,12984.0
255,36976.0
256,46762.0
257,4819.0
258,35933.0
259,39684.0
260,3745.0
261,2574.0
262,37494.0
263,38420.0
264,42225.0
265,39573.0
266,31047.0
267,780.0
268,28841.0
269,4334.0
270,299.0
271,48839.0
272,30427.0
273,46704.0
274,18937.0
275,28849.0
276,1364.0
277,33044.0
278,43115.0
279,18743.0
280,37644.0
281,29838.0
282,29303.0
283,49674.0
284,9171.0
285,47238.0
286,44812.0
287,42419.0
288,4506.0
289,11497.0
290,11274.0
291,5552.0
292,10254.0
293,49698.0
294,38309.0
295,37577.0
296,47063.0
297,35.0
298,38082.0
299,49918.0
300,39016.0
301,46757.0
302,38551.0
303,39913.0
304,38914.0
305,38572.0
306,38233.0
307,50146.0
308,32107.0
309,5234.0
310,40243.0
311,54710.0
312,785.0
313,7766.0
314,7361.0
315,6079.0
316,2079.0
317,5572.0
318,3150.0
319,50918.0
320,1364.0
321,47762.0
322,38271.0
323,33244.0
324,29320.0
325,29266.0
326,47898.0
327,35681.0
328,49116.0
329,10847.0
330,23428.0
331,40408.0
332,8641.0
333,41909.0
334,52168.0
335,38362.0
336,13955.0
337,11463.0
338,39624.0
339,39616.0
340,10900.0
341,251.0
342,49486.0
343,47264.0
344,50392.0
345,33486.0
346,40328.0
347,36826.0
348,374.0
349,57583.0
350,50661.0
351,41433.0
352,1702.0
353,35252.0
354,7512.0
355,56070.0
356,24255.0
357,11048.0
358,5366.0
359,36265.0
360,38538.0
361,36985.0
362,37761.0
363,11700.0
364,48692.0
365,39374.0
366,34442.0
367,49467.0
368,51707.0
369,30217.0
370,50226.0
371,1857.0
372,35324.0
373,31238.0
374,39892.0
375,41056.0
376,37461.0
377,41584.0
378,51410.0
379,34704.0
380,50399.0
381,18016.0
382,11656.0
383,726.0
384,2667.0
385,2615.0
386,41687.0
387,37939.0
388,904.0
389,39396.0
390,844.0
391,30774.0
392,28909.0
393,50902.0
394,48344.0
395,35884.0
396,10052.0
397,36909.0
398,35729.0
399,13270.0
400,4626.0
401,11728.0
402,41133.0
403,30631.0
404,36382.0
405,52942.0
406,241.0
407,5552.0
408,1034.0
409,40007.0
410,50455.0
411,47645.0
412,2611.0
413,3005.0
414,7284.0
415,4231.0
416,39120.0
417,47587.0
418,37578.0
419,36097.0
420,38626.0
421,31692.0
422,339.0
423,50230.0
424,35.0
425,23255.0
426,29268.0
427,54078.0
428,48338.0
429,47128.0
430,50223.0
431,39060.0
432,1702.0
433,52099.0
434,51058.0
435,49725.0
436,31737.0
437,54438.0
438,30579.0
439,48507.0
440,1325.0
441,1502.0
442,53675.0
443,40828.0
444,13661.0
445,1863.0
446,51161.0
447,30698.0
448,11997.0
449,33725.0
450,47764.0
451,40496.0
452,36097.0
453,37830.0
454,18542.0
455,27009.0
456,47536.0
457,48138.0
458,11389.0
459,32047.0
460,18074.0
461,40008.0
462,52127.0
463,1364.0
464,35956.0
465,20794.0
466,40597.0
467,51114.0
468,48755.0
469,2969.0
470,20098.0
471,51013.0
472,38718.0
473,45997.0
474,12132.0
475,51203.0
476,11997.0
477,49197.0
478,19467.0
479,46943.0
480,39999.0
481,47909.0
482,42018.0
483,47355.0
484,39388.0
485,50455.0
486,2769.0
487,38504.0
488,28879.0
489,53079.0
490,41409.0
491,35905.0
492,36446.0
493,47910.0
494,36470.0
495,6458.0
496,47787.0
497,31778.0
498,7284.0
499,49126.0
500,39201.0
501,5642.0
502,7284.0
503,37577.0
504,50068.0
505,11219.0
506,52794.0
507,11674.0
508,48183.0
509,48440.0
510,38643.0
511,49733.0
512,50439.0
513,37647.0
514,1864.0
515,11885.0
516,37522.0
517,241.0
518,51157.0
519,8697.0
520,7284.0
521,36604.0
522,36599.0
523,29502.0
524,38395.0
525,11858.0
526,374.0
527,11997.0
528,34053.0
529,5366.0
530,23155.0
531,39414.0
532,39603.0
533,15686.0
534,1364.0
535,49859.0
536,36124.0
537,31108.0
538,33912.0
539,4999.0
540,49251.0
541,3326.0
542,34255.0
543,11141.0
544,1558.0
545,4975.0
546,28841.0
547,46429.0
548,12924.0
549,31104.0
550,47102.0
551,52864.0
552,36946.0
553,35079.0
554,15204.0
555,11139.0
556,1863.0
557,49961.0
558,47730.0
559,36179.0
560,52179.0
561,46313.0
562,35406.0
563,49855.0
564,50627.0
565,39786.0
566,32618.0
567,19511.0
568,51694.0
569,43383.0
